A30,P301,P302
206.5459259,205.4696368,205.4533615
210.2414815,210.1544019,210.1550875
212.4525926,212.5263871,212.5055791
212.531358,211.0072227,211.0049539
212.2595062,211.9436992,211.9334417
210.9891358,212.3266572,212.3094276
205.9508642,207.5335105,207.6011318
204.7604938,202.1798912,202.1620479
204.648642,202.4089733,202.4333056
206.0720988,207.8926922,207.9304988
207.7746914,205.6006972,205.5991907
210.2132099,207.7249646,207.694741
215.1916049,213.2379576,213.20505
217.7490123,217.5465838,217.6062038
219.6893827,219.914632,219.9068243
223.9080247,222.7538552,222.660501
222.4428395,222.0977689,222.0455087
218.1891358,217.6004948,217.5523976
202.714321,203.1746173,203.1571851
199.2080247,199.4840366,199.4632619
199.2376543,198.5455397,198.4890815
211.8516049,208.1538353,208.1303075
212.1667901,211.7994589,211.7744897
209.2316049,210.9734666,210.9323259
194.5828395,197.6910028,197.7532025
191.494321,191.0435541,191.0192412
191.5028395,190.3674116,190.3506757
198.7382716,199.3001227,199.30379
201.8434568,203.373172,203.3697269
204.9482716,204.9942617,205.0306038
210.4690123,208.0356007,207.938309
211.7608642,213.338236,213.34006
211.2401235,213.5981799,213.5991876
204.2574074,204.8121551,204.7964458
203.5985185,201.5710281,201.5900422
204.6140741,203.9423376,203.9217302
210.8314815,210.0829992,210.0890197
212.5503704,214.9822444,214.978539
213.2981481,213.5393689,213.5468604
210.6037037,210.472748,210.476888
211.2625926,209.8907801,209.8774835
212.8037037,211.9073013,211.9476813
217.8887654,216.7727136,216.7705274
219.1980247,220.3106122,220.3160656
219.3932099,218.4310183,218.444054
214.882716,214.6287376,214.647027
215.5434568,210.5515901,210.5649798
217.7838272,218.9186211,218.9135125
225.9860494,226.6173137,226.58729
228.0990123,228.9567688,229.007082
228.5049383,229.5144663,229.5583412
227.0951852,226.4420352,226.4369711
224.1685185,224.8346439,224.8565619
219.6162963,218.4721931,218.444195
207.8795062,214.6383263,214.6758138
204.2454321,205.2109228,205.2369735
203.1550617,201.5769582,201.5712964
210.2671605,207.4720561,207.4677642
210.0201235,214.9110023,214.9158539
208.072716,210.2805235,210.2869254
200.4432099,200.4927639,200.5254757
198.081358,198.5605545,198.5687267
197.0054321,197.4685003,197.4851144
198.93,198.9377836,198.9447977
199.14,199.3712975,199.3617792
199.35,201.5169111,201.5035866
