0-QSX,2-QSX,53-QSX,54-QSX,70-QSX,72-QSX
113.0467351,10542.13426,74177.06056,2320.34856,17302.90437,2197.246141
112.8981916,10444.92781,74229.92129,2314.800192,17296.25694,2250.694146
112.7683796,10350.86467,74342.26135,2309.723233,17293.77386,2299.661302
112.6572287,10260.03237,74514.06035,2305.129005,17295.44625,2343.490361
112.5646419,10172.51663,74745.05993,2301.028614,17301.25885,2381.600661
112.4904955,10088.40121,75034.76476,2297.432932,17311.19004,2413.500512
112.4346396,10007.76786,75382.44455,2294.352568,17325.21192,2438.798149
112.3968987,9930.696258,75787.13724,2291.79785,17343.29029,2457.210998
112.3770718,9857.263861,76247.65326,2289.778796,17365.38476,2468.573044
112.3749332,9787.545888,76762.58085,2288.305099,17391.44877,2472.840108
112.3902331,9721.615216,77330.29244,2287.386095,17421.42974,2470.092895
112.4226981,9659.542306,77948.95201,2287.030745,17455.2691,2460.537732
112.4720317,9601.395133,78616.52347,2287.247607,17492.90244,2444.504927
112.5379156,9547.23911,79330.77994,2288.044818,17534.25958,2422.444771
112.6200099,9497.137025,80089.3139,2289.430068,17579.26474,2394.921228
112.7179541,9451.148968,80889.54823,2291.410577,17627.83665,2362.603408
112.831368,9409.33227,81728.74797,2293.99307,17679.88872,2326.254975
112.9598526,9371.74144,82604.03284,2297.183761,17735.32915,2286.721675
113.1029911,9338.428107,83512.39043,2300.988324,17794.06116,2244.917217
113.2603496,9309.440959,84450.68992,2305.411877,17855.98311,2201.80776
113.4314783,9284.825698,85415.6964,2310.458956,17920.98874,2158.395316
113.6159126,9264.624978,86404.08562,2316.1335,17988.96731,2115.70036
113.813174,9248.878364,87412.45913,2322.438824,18059.80383,2074.744003
114.0227713,9237.622285,88437.35971,2329.377607,18133.37928,2036.530055
114.2442015,9230.88999,89475.28706,2336.95187,18209.57081,2002.027324
114.4769513,9228.711511,90522.71365,2345.162958,18288.25196,1972.152503
114.720498,9231.113622,91576.10062,2354.011523,18369.29291,1947.753961
114.9743106,9238.119813,92631.91374,2363.497509,18452.56072,1929.596765
115.2378512,9249.750253,93686.63925,2373.620138,18537.91955,1918.349211
115.5105761,9266.021767,94736.79958,2384.377894,18625.23095,1914.571134
115.791937,9286.94781,95778.96885,2395.76851,18714.35404,1918.704218
116.081382,9312.538448,96809.78804,2407.788958,18805.14588,1931.064498
116.3783573,9342.800341,97825.97981,2420.435437,18897.46162,1951.837195
116.6823078,9377.736726,98824.36293,2433.703362,18991.15483,1981.073997
116.992679,9417.34741,99801.86612,2447.587362,19086.07778,2018.692826
117.3089174,9461.628761,100755.5414,2462.081263,19182.08164,2064.480116
117.6304724,9510.573704,101682.5766,2477.178092,19279.01683,2118.095545
117.9567972,9564.17172,102580.3076,2492.870068,19376.73327,2179.079158
118.2873498,9622.40885,103446.2295,2509.1486,19475.08062,2246.860728
118.6215943,9685.2677,104278.0069,2526.004285,19573.90859,2320.771206
118.9590024,9752.727449,105073.4835,2543.426909,19673.06722,2400.056032
119.2990538,9824.763865,105830.691,2561.405449,19772.40713,2483.890078
119.6412377,9901.349318,106547.8569,2579.928077,19871.77981,2571.39394
119.9850542,9982.4528,107223.411,2598.982161,19971.03787,2661.651285
120.3300145,10068.03995,107855.9915,2618.554275,20070.03534,2753.726937
120.6756426,10158.07308,108444.4497,2638.630206,20168.6279,2846.685371
121.0214762,10252.51119,108987.854,2659.194962,20266.67317,2939.609281
121.3670672,10351.31002,109485.4924,2680.232786,20364.03094,3031.617874
121.7119831,10454.42209,109936.8743,2701.727166,20460.56345,3121.884575
122.0558076,10561.79672,110341.7312,2723.660849,20556.13563,3209.653802
122.3981416,10673.38005,110700.0161,2746.015861,20650.61531,3294.25652
122.7386037,10789.11515,111011.9026,2768.77352,20743.87352,3375.124279
123.0768313,10908.94203,111277.7816,2791.914456,20835.78466,3451.80149
123.4124809,11032.79766,111498.2586,2815.418636,20926.22674,3523.955699
123.7452293,11160.61608,111674.1487,2839.265379,21015.08163,3591.385678
124.0747736,11292.32842,111806.4715,2863.433386,21102.23521,3654.027178
124.4008321,11427.863,111896.4443,2887.900762,21187.57761,3711.956215
124.7231447,11567.14531,111945.4756,2912.645045,21271.0034,3765.389845
125.0414733,11710.09818,111955.156,2937.643232,21352.41175,3814.684362
125.3556024,11856.64176,111927.2503,2962.87181,21431.70662,3860.330971
125.6653393,12006.69365,111863.6868,2988.306785,21508.79691,3902.948957
125.9705142,12160.16892,111766.548,3013.92372,21583.59662,3943.27647
126.2709809,12316.98024,111638.0584,3039.697761,21656.02501,3982.159066
126.5666164,12477.0379,111480.5738,3065.603676,21726.00671,4020.53615
126.8573216,12640.24995,111296.5687,3091.615893,21793.47184,4059.425574
127.143021,12806.52221,111088.6237,3117.70853,21858.35614,4099.906585
127.4236627,12975.75844,110859.4123,3143.855443,21920.60105,4143.101432
127.6992187,13147.86032,110611.6879,3170.030256,21980.15382,4190.155883
127.9696843,13322.72764,110348.2697,3196.206405,22036.96756,4242.218996
128.2350783,13500.25832,110072.029,3222.357181,22091.00133,4300.42243
128.4954429,13680.34853,109785.8753,3248.455767,22142.22018,4365.859657
128.750843,13862.89278,109492.742,3274.475284,22190.59519,4439.565379
129.0013662,14047.78399,109195.5723,3300.388831,22236.10351,4522.495501
129.2471225,14234.91362,108897.3055,3326.169531,22278.72836,4615.507964
129.4882435,14424.17173,108600.8626,3351.790574,22318.45906,4719.344764
129.7248823,14615.44713,108309.1332,3377.225259,22355.291,4834.615439
129.957213,14808.62741,108024.9616,3402.447044,22389.22563,4961.782298
130.1854296,15003.59909,107751.134,3427.429583,22420.27044,5101.147644
130.4097463,15200.24768,107490.3657,3452.146777,22448.43891,5252.843203
130.6303958,15398.45784,107245.2888,3476.572816,22473.75042,5416.821948
130.8476295,15598.11342,107018.4409,3500.682224,22496.23027,5592.852472
131.0617161,15799.09759,106812.2531,3524.449904,22515.90951,5780.516019
131.2729413,16001.29294,106629.0404,3547.85118,22532.8249,5979.206252
131.4816066,16204.58158,106470.9909,3570.861844,22547.01882,6188.131806
131.6880288,16408.84523,106340.1574,3593.458197,22558.53913,6406.321598
131.8925386,16613.96537,106238.4484,3615.617091,22567.43903,6632.632888
132.0954802,16819.82328,106167.6206,3637.315974,22573.77701,6865.761971
132.2972102,17026.30017,106129.2718,3658.532929,22577.61662,7104.25742
132.4980964,17233.2773,106124.8354,3679.246712,22579.02635,7346.535684
132.6985169,17440.63605,106155.5744,3699.436799,22578.07949,7590.898897
132.8988592,17648.25803,106222.578,3719.083415,22574.85394,7835.554636
133.0995191,17856.02522,106326.7572,3738.167578,22569.43201,8078.637407
133.3008994,18063.81999,106468.8428,3756.671133,22561.90026,8318.231577
133.5034092,18271.52528,106649.384,3774.576785,22552.34931,8552.395456
133.7074623,18479.02465,106868.7468,3791.868135,22540.87361,8779.186215
133.9134767,18686.20239,107127.1148,3808.529712,22527.57124,8996.685332
134.121873,18892.94363,107424.4903,3824.546998,22512.54368,9203.024201
134.3330734,19099.1344,107760.6956,3839.906465,22495.89563,9396.409604
134.5475007,19304.66177,108135.3763,3854.595596,22477.73471,9575.148681
134.7655769,19509.4139,108548.0044,3868.602912,22458.17129,9737.673072
134.9877225,19713.28015,108997.8832,3881.917995,22437.31819,9882.561917
135.2143548,19916.15119,109484.1521,3894.531511,22415.29049,10008.56339
135.4458875,20117.91904,110005.7926,3906.435228,22392.20523,10114.61448
135.6827288,20318.47719,110561.6346,3917.622036,22368.18121,10199.85875
135.9252811,20517.72068,111150.3644,3928.085958,22343.33867,10263.66182
136.1739392,20715.54617,111770.5319,3937.82217,22317.7991,10305.62432
136.4290897,20911.85203,112420.5591,3946.827004,22291.68491,10325.59224
136.6911099,21106.53841,113098.7496,3955.097965,22265.11924,10323.66433
