0-BDX,zhijiejiahe-BDX
-1.675623977,-62442.40705
-6.535969404,-64366.96881
-9.761712912,-66080.78644
-11.35278426,-65846.8184
-11.30908633,-63020.20401
-9.630495472,-57842.76947
-2.836368008,-50423.58017
-0.497886343,-40765.60079
0.865644263,-30609.40867
-0.185056683,-23889.15997
0.308902667,-23419.75886
0.908289574,-27312.69562
2.645499121,-30224.50953
2.682578185,-28897.02356
2.051965403,-25626.50515
-2.941781243,-24587.67563
-2.134824789,-25024.23308
0.777431302,-21475.35859
10.42305825,-11967.26779
14.07644051,-2100.843894
16.36568216,819.4094727
16.87347008,-5076.733833
16.74917165,-14640.71572
15.57550033,-19349.19492
10.83493431,-15532.11046
9.452554869,-9134.635784
8.91086005,-7795.792978
12.92050423,-11789.74743
11.27918582,-17802.53367
7.697572023,-24457.63793
-2.652924625,-30053.50059
-6.491628915,-32632.08502
-8.647122698,-33086.59448
-9.046258447,-32911.74011
-7.888111075,-32706.95087
-5.099534692,-34694.53077
5.956564591,-39364.99134
7.030239833,-40902.60518
4.758576159,-34329.38533
-9.610977057,-23581.77904
-12.00690362,-14999.96157
-11.1817698,-7954.722036
-1.405682176,1875.574334
1.566056944,14838.51937
3.463318866,26823.10157
3.080159846,32570.98621
3.734696659,28876.4002
4.220957504,18410.04201
5.173942833,9336.350328
4.849007195,7907.367489
3.881117673,12672.66131
-1.169344435,17017.8972
-0.842016453,16453.79572
1.423444976,14504.84946
9.796252135,19756.48416
12.8122634,33190.33197
14.64064938,43342.76149
15.15426274,39579.63208
14.7037119,24527.76404
13.161805,10834.14023
8.710957023,9032.343366
6.350226537,16359.57522
4.261982103,20726.93233
4.103136685,17419.36212
1.317616653,8594.982986
-2.437712354,-6573.363233
-10.31983557,-23218.04317
-13.64687299,-31327.23488
-15.57585709,-32532.26767
-14.95915239,-33040.56411
-14.95285031,-32435.73632
-14.40936152,-32934.60408
-13.16827982,-37167.95733
-11.67107311,-41711.59418
-9.75737929,-45427.57444
-6.911795908,-48068.85701
-4.552274693,-44971.6679
-2.163454334,-33170.16939
2.209019153,-13560.33066
3.189851105,7837.134581
2.733358175,20493.48271
-1.190358086,20984.44344
-3.000101801,13576.95249
-4.725804165,1362.012031
-7.444325058,-9394.785389
-8.195501534,-10504.02805
-8.056220966,-4166.252134
-8.013012687,1543.488942
-5.354269223,4774.28921
-1.066541587,8618.285116
9.17274571,16808.6977
13.4750488,29844.43329
16.16292774,38974.60341
17.48189948,32113.7056
16.75525373,10466.41939
14.22849857,-6791.856641
5.818250429,1147.683427
2.752235214,32187.62203
0.947067219,55588.53215
3.689731738,42810.58088
1.939438041,2845.841612
-1.016823946,-29825.73221
-8.106381296,-39726.32038
-11.28063006,-41975.03164
-13.46688601,-50409.4527
-16.1964083,-56814.85811
-15.25970698,-50230.1946
-12.1880235,-40590.66348
-0.535798801,-44904.02667
1.970315351,-56548.14029
1.775901738,-53889.59976
-6.046283077,-38765.0696
-7.947542419,-33458.46782
-8.855090483,-37372.26137
-8.48180458,-26427.96743
-7.618323104,187.1622459
-5.977489218,14939.28886
-0.980769885,9668.030837
0.280016409,9455.63512
0.383441032,30597.49012
-2.367953962,53756.12287
-3.306791094,48860.0713
-4.130486603,13627.66146
-7.772978394,-19941.7651
-6.166330588,-18782.53237
-2.244436882,14749.76043
9.462782203,49297.93425
13.91246598,63541.62219
16.57473971,61055.58219
17.94938138,49895.03397
16.6621181,31510.62767
13.21277423,12030.11168
1.190580029,3605.454811
-1.774470427,9291.661718
-2.093100875,18840.36622
6.503000033,20953.92333
6.776610573,11669.53647
4.996086763,-7048.500442
-2.684267631,-28845.43338
-5.687905196,-44644.32017
-7.86047978,-49330.62299
-8.666884034,-46383.47199
-9.577546264,-42413.66035
-10.05731992,-39422.01905
-11.58141017,-36470.84155
-10.09167089,-36185.37586
-7.063272064,-42866.22629
0.822213015,-53217.74396
4.440634101,-54870.90974
7.110448322,-38449.01807
8.509139042,-9100.288116
9.525313713,17417.03619
9.836480693,29623.85886
8.567566787,28973.569
8.126842162,24106.41484
7.639252648,19691.12187
8.539381645,13837.25714
6.884041641,5973.589617
4.107828671,1975.217578
-5.881570144,7234.340576
-6.328315992,19834.59209
-3.324715797,38251.33107
8.700628498,68965.17684
14.42837434,112498.3181
19.42991892,147500.6124
28.81641034,147449.5426
28.53417861,112126.7174
23.69436412,67985.12846
3.632793066,40473.02821
-2.322122425,35105.25779
-4.834570595,37917.74834
3.764090967,29428.6131
2.386939201,5535.687873
-1.297404366,-18707.55225
-13.05736723,-31002.04259
-17.02805652,-34413.98768
-18.97792667,-34971.01521
-17.98557044,-33827.45271
-16.58330007,-32556.77848
-13.84974077,-32720.61905
-6.062547576,-33243.2878
-3.456801201,-33948.96801
-2.310193991,-35531.60683
-5.006610868,-36716.84312
-4.989216415,-35149.78054
-4.641936983,-26600.4033
-3.501806934,-8355.08102
-2.841067934,9991.747955
-2.196799055,13778.70576
-0.805855466,5883.366313
-0.766226828,654.4959794
-1.314815389,-1703.322659
-3.621880692,-8439.675025
-4.468817556,-13104.71737
-5.025934009,-8067.221665
-7.904550151,-2320.232477
-5.923417944,-4501.408975
-1.693906386,-5225.461302
9.867405969,7994.998953
14.78095336,31307.912
18.13010895,47748.95549
21.98291341,43657.16793
20.65182835,22959.4412
16.20484776,7182.938855
0.836362616,14160.12687
-3.988888058,35704.4645
-6.076557411,45737.51134
1.081260408,31052.55928
-0.41310494,3069.562736
-4.051788218,-21843.50482
-16.16052371,-39804.5313
-19.34469384,-52128.32636
-19.93006916,-55119.53291
-15.68836299,-48134.0305
-12.7487121,-41564.67577
-8.882860933,-43857.63601
1.104345494,-47050.92495
2.924715694,-38429.46718
1.773379373,-22603.30564
-9.506643605,-17471.26276
-11.23530635,-27476.13572
-10.5696079,-34362.17009
-2.654209396,-20190.80251
-0.843037868,9531.927804
-0.280766543,32742.24213
-3.311579112,35849.12905
-3.490773466,25431.24767
-3.162538277,16605.55673
-0.59600117,15355.86216
-0.552881832,15838.50073
-1.302305609,14042.48779
-7.523765258,17156.6264
-6.350453071,33203.20345
-2.46185226,55835.44304
10.66404201,68867.2664
15.08998307,66152.73018
17.33799243,58654.962
17.01158312,57175.55534
15.1994646,54905.30105
11.50517341,38896.24568
-0.168481247,15520.84083
-3.055712777,5012.28321
-3.253682076,8865.449459
5.999725669,6043.823917
6.107383424,-14031.9593
3.831441743,-38275.64816
-6.438275291,-52713.26169
-9.274886506,-56960.94209
-10.28852693,-55710.23851
-7.040421098,-52904.61734
-6.238067561,-51830.8452
-5.442645614,-50677.54392
-4.221236928,-44360.98672
-3.764973143,-34978.93846
-3.640887221,-30903.53371
-6.565616706,-34533.55011
-5.068736669,-39137.81801
-1.866833448,-35111.53275
7.302298091,-15920.65213
10.71755601,13753.88534
12.64119812,36649.42467
12.4253853,41078.28019
11.8519346,33931.12746
10.27305997,25728.49275
4.919520344,18239.74369
3.407286145,13579.08662
2.967168719,12756.3865
4.056178099,5622.724754
5.418386887,-10228.52111
7.510855795,-11115.11017
12.13783075,20264.57852
14.33876707,59605.43513
15.91795859,69300.10046
19.77108021,45933.46596
17.93642184,14963.03513
13.30970253,-5967.182091
-2.541239003,-19020.48699
-6.426321666,-31674.79371
-6.777667318,-42002.98211
5.453608206,-38782.97809
5.384925015,-19212.10113
2.065201135,-1887.065805
-12.96823495,-7095.018469
-16.44100336,-27119.81053
-16.81574803,-34787.50463
-9.962014389,-21300.33398
-7.236373939,-8396.886467
-4.50835142,-17495.57378
0.638956706,-38368.80446
1.561350145,-42338.83504
0.675745729,-24547.07621
-6.666613986,-13361.82174
-7.679297814,-29960.56525
-7.011057624,-57137.73393
-1.133854341,-60933.66504
0.252572831,-31314.63821
0.676260633,9520.67075
-2.333275863,33296.58938
-1.979859397,31640.59515
-0.733985171,16637.77757
4.066684017,2883.513239
5.102995481,-5324.81745
5.037268333,-11740.44191
0.278477396,-18765.12063
0.704103811,-21054.85544
2.723096772,-9995.553532
10.71821801,12679.3848
12.63888012,31465.73183
12.86781208,33272.80855
11.29686066,19607.8935
8.225260855,-1483.647438
3.544820143,-22835.27145
-8.303045542,-34520.48306
-12.03064608,-30264.76992
-13.19661064,-20156.34373
-6.141814533,-19931.47599
-6.427528088,-29710.16426
-8.394676741,-39321.61052
-16.02470592,-46563.52628
-18.36760637,-54524.63595
-19.40487779,-60691.73125
-17.42175151,-61028.81317
-17.13311697,-56997.54708
-16.82426286,-53310.68446
