0-BDX,zhijiejiahe-BDX
-1.675623977,-72331.4304
-6.535969404,-74238.67573
-9.761712912,-75933.88648
-11.35278426,-75680.02056
-11.30908633,-72832.23197
-9.630495472,-67632.33031
-2.836368008,-60189.39875
-0.497886343,-50506.40285
0.865644263,-40323.96286
-0.185056683,-33576.25887
0.308902667,-33078.21977
0.908289574,-36941.36028
2.645499121,-39822.21651
2.682578185,-38462.63766
2.051965403,-35158.92797
-2.941781243,-34085.77441
-2.134824789,-34486.93635
0.777431302,-30901.60806
10.42305825,-21355.99298
14.07644051,-11451.02527
16.36568216,-8491.203522
16.87347008,-14346.78227
16.74917165,-23869.21304
15.57550033,-28535.16878
10.83493431,-24674.59515
9.452554869,-18232.72902
8.91086005,-16848.55045
12.92050423,-20796.26622
11.27918582,-26761.93162
7.697572023,-33369.06036
-2.652924625,-38916.06969
-6.491628915,-41444.98509
-8.647122698,-41849.00377
-9.046258447,-41622.84801
-7.888111075,-41365.97183
-5.099534692,-43300.69566
5.956564591,-47917.55291
7.030239833,-49400.81373
4.758576159,-42772.52046
-9.610977057,-31969.14554
-12.00690362,-23330.87611
-11.1817698,-16228.51471
-1.405682176,-6340.426006
1.566056944,6680.939888
3.463318866,18724.55231
3.080159846,24532.08521
3.734696659,20897.73804
4.220957504,10492.19317
5.173942833,1479.862198
4.849007195,112.785553
3.881117673,4940.49572
-1.169344435,9348.658669
-0.842016453,8847.972404
1.423444976,6962.909386
9.796252135,12278.88722
12.8122634,25777.53194
14.64064938,35995.15923
15.15426274,32297.64073
14.7037119,17311.777
13.161805,3684.531181
8.710957023,1949.460896
6.350226537,9343.771974
4.261982103,13778.53715
4.103136685,10538.709
1.317616653,1782.398331
-2.437712354,-13317.58755
-10.31983557,-29893.60945
-13.64687299,-37933.87675
-15.57585709,-39069.69376
-14.95915239,-39508.46964
-14.95285031,-38833.80565
-14.40936152,-39262.55321
-13.16827982,-43425.49884
-11.67107311,-47898.45581
-9.75737929,-51543.51802
-6.911795908,-54113.66486
-4.552274693,-50945.10666
