0-BDX,2-BDX,53-BDX,54-BDX,70-BDX,72-BDX,,,,,,,,,,,0.20556           0     0.21829           0     0.11415
-1.675623977,-4810.917609,-17109.99855,-1048.418378,-3324.246591,-1546.29739,,0.099100382,0.374477201,0.176178922,0.260882862,0.150850143,0.112907311,0.262426322,,,0.099100382
-6.535969404,-4640.189136,-19438.48612,-692.5554199,-3477.369777,-1533.166843,,0.119776513,0.274770607,0.17953305,0.241062119,0.242242256,0.101295841,0.262747586,,,0.119776513
-9.761712912,-4126.886582,-21637.71403,-132.3631134,-4307.446906,-1364.352899,,0.153725792,0.208596731,0.189617381,0.222341671,0.38610988,0.038350342,0.26687794,,,0.153725792
-11.35278426,-4169.206937,-21238.54738,-156.3483422,-4701.667428,-1197.42864,,0.152676453,0.175957012,0.188785957,0.22573949,0.379950035,0.008456243,0.270962059,,,0.152676453
-11.30908633,-4889.0529,-18488.74134,-561.0875402,-3712.703555,-1167.852941,,0.127161981,0.176853445,0.174643877,0.249146615,0.276005611,0.083450268,0.271685684,,,0.127161981
-9.630495472,-5319.038173,-14589.85696,-607.2715444,-2106.360951,-1255.82724,,0.122590698,0.211288565,0.166196395,0.282335018,0.264144714,0.20526068,0.269533226,,,0.122590698
-2.836368008,-4774.273843,-9195.866957,-208.6892411,-1273.796684,-1295.323566,,0.147025248,0.350665347,0.176898824,0.328250183,0.366507936,0.268394781,0.268566873,,,0.147025248
-0.497886343,-3649.911968,-1489.412003,195.915748,-1352.524117,-1134.033377,,0.174698874,0.398637666,0.198988015,0.393849701,0.470417893,0.262424809,0.272513144,,,0.174698874
0.865644263,-2594.037607,6702.228238,479.8848949,-1464.024215,-787.7292589,,0.195849693,0.426609545,0.219731701,0.463579254,0.54334636,0.253969655,0.280986132,,,0.195849693
-0.185056683,-1757.503444,11109.02683,739.5061713,-1048.026035,-424.8470126,,0.21479606,0.405055148,0.236166235,0.501091166,0.61002185,0.285515174,0.289864735,,,0.21479606
0.308902667,-1230.806832,9539.552907,806.1754961,-313.5942412,-199.1969261,,0.221290844,0.415188379,0.246513706,0.487731362,0.627143751,0.341207801,0.295385693,,,0.221290844
0.908289574,-1368.96198,5060.026163,553.0917768,54.66085006,-120.4814211,,0.206764667,0.427484383,0.243799512,0.449600366,0.562147226,0.369132917,0.297311617,,,0.206764667
2.645499121,-2128.793871,3012.873441,294.3867605,-384.9414619,-101.6115826,,0.189245616,0.463122025,0.22887187,0.432174425,0.495707049,0.335797476,0.297773303,,,0.189245616
2.682578185,-2751.293563,5020.32212,312.9903785,-1080.50827,-98.70657422,,0.187782744,0.463882676,0.216642254,0.449262394,0.500484798,0.283052016,0.29784438,,,0.187782744
