0-BDX,zhijiejiahe-BDX,julijiahe-BDX,IHGS-BDX
-1.675623977,-27839.87852,-15494.33641,0.099100382
-6.535969404,-29781.7673,-16341.63577,0.119776513
-9.761712912,-31568.76353,-16770.96333,0.153725792
-11.35278426,-31463.19872,-16640.78597,0.152676453
-11.30908633,-28819.43827,-15926.0697,0.127161981
-9.630495472,-23878.35487,-14072.10628,0.122590698
-2.836368008,-16747.95029,-10442.6629,0.147025248
-0.497886343,-7429.965718,-5201.807814,0.174698874
0.865644263,2336.322052,237.1482757,0.195849693
-0.185056683,8618.156511,3692.333043,0.21479606
0.308902667,8602.130404,3764.060346,0.221290844
0.908289574,4178.335389,1391.021492,0.206764667
2.645499121,691.9132856,-622.2049275,0.189245616
2.682578185,1402.804091,-404.1176682,0.187782744
2.051965403,4016.549703,952.6746903,0.192270117
-2.941781243,4360.359649,1226.89907,0.185673201
-2.134824789,3192.490108,743.5405051,0.174532258
0.777431302,5975.812857,2403.632784,0.174467741
10.42305825,14686.23122,7389.604514,0.185213209
14.07644051,23725.06633,12620.09095,0.197435194
16.36568216,25790.06385,13725.36958,0.206151092
16.87347008,19013.35726,9668.649572,0.206223847
16.74917165,8545.942981,3877.16372,0.194373407
15.57550033,2913.672077,1153.176694,0.184400238
10.83493431,5789.210011,3056.666854,0.198616783
9.452554869,11230.04643,6416.647246,0.233641136
8.91086005,11599.96849,7188.401776,0.255179517
12.92050423,6627.655881,4543.561558,0.239038261
11.27918582,-369.9894955,70.65291987,0.199984929
7.697572023,-8013.428637,-4676.062942,0.168401421
-2.652924625,-14598.00063,-8466.256962,0.155267458
-6.491628915,-18162.51161,-10523.21368,0.153017146
-8.647122698,-19596.95254,-11201.02214,0.154454229
-9.046258447,-20392.7758,-11415.91874,0.154665788
-7.888111075,-21146.11958,-11972.45536,0.147166785
-5.099534692,-24075.97734,-13519.49984,0.134867648
5.956564591,-29669.58472,-15452.11088,0.134558773
7.030239833,-32107.9177,-15489.66244,0.154049931
4.758576159,-26409.77112,-12419.27924,0.174157122
-9.610977057,-16508.43032,-8074.446528,0.171470622
